train_no,train_name,journey_date,day_of_week,is_holiday,season,station_code,station_name,lat,lon,seq,distance_km,scheduled_arrival,scheduled_departure,historical_avg_delay_min,simulated_delay_min,simulated_cancelled_flag,previous_station_delay,distance_remaining,number_of_stops_remaining,temperature_c,precipitation_mm,visibility_m
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,LTT,LOKMANYA TIL,19.07032,72.89173899999999,1,0.0,22:35:00,22:35:00,0.0,6.7,False,0.0,1518.0,34,21.8,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,TNA,THANE,19.185757,72.97541700000001,2,17.0,22:53:00,22:55:00,26.0,16.6,False,6.7,1501.0,33,21.7,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,KYN,KALYAN JN,19.234716,73.12974,3,37.0,23:15:00,23:18:00,30.0,11.2,False,16.6,1481.0,32,22.2,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,PUNE,PUNE JN.,18.529378,73.873086,4,175.0,01:50:00,01:55:00,0.0,46.2,False,11.2,1343.0,31,21.6,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,KWV,KURDUVADI JN,18.091348,75.41711799999999,5,362.0,04:33:00,04:35:00,60.0,55.2,False,46.2,1156.0,30,25.0,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,SUR,SOLAPUR,17.664496,75.893401,6,441.0,06:25:00,06:35:00,51.0,66.1,False,55.2,1077.0,29,25.9,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,DUD,DUDHANI,17.362420999999998,76.37871,7,504.0,07:38:00,07:40:00,63.0,77.0,False,66.1,1014.0,28,24.6,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,GUR,GANGAPUR ROA,17.340443,76.5903,8,527.0,08:08:00,08:10:00,67.0,66.2,False,77.0,991.0,27,24.9,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,GR,GULBARGA,17.314372,76.82443799999999,9,554.0,08:45:00,08:48:00,10.0,38.0,False,66.2,964.0,26,24.8,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,SDB,SHAHABAD,17.121662999999998,76.943513,10,580.0,09:13:00,09:15:00,54.0,16.8,False,38.0,938.0,25,24.7,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,WADI,WADI JN.,17.054312,76.99154999999999,11,590.0,09:55:00,10:00:00,26.0,15.5,False,16.8,928.0,24,24.8,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,YG,YADGIR,16.744396,77.13036600000001,12,629.0,10:28:00,10:30:00,31.0,8.1,False,15.5,889.0,23,25.1,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,KSN,KRISHNA,16.409324,77.328563,13,672.0,10:58:00,11:00:00,29.0,4.4,False,8.1,846.0,22,26.0,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,RC,RAICHUR,16.192441000000002,77.339165,14,698.0,11:38:00,11:40:00,28.0,11.9,False,4.4,820.0,21,25.4,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,MALM,MANTHRALAYAM,15.949035,77.299196,15,726.0,12:09:00,12:10:00,31.0,11.4,False,11.9,792.0,20,25.9,0.0,
11013,COIMBATORE E,2023-01-01,Sunday,False,Winter,AD,ADONI,15.617035,77.27485,16,767.0,12:49:00,12:50:00,36.0,19.8,False,11.4,751.0,19,26.5,0.0,
